getData:: 12500 files keep: 500.0 files
getData:: 12500 files keep: 500.0 files
getData::vocab size 17106
getData::cost 0.424200057983 seconds
getData:: 12500 files keep: 500.0 files
getData:: 12500 files keep: 500.0 files
getData::vocab size 17106
getData::cost 0.407733201981 seconds
input_IMDB_W2V:: words, dim  89567 300
input_IMDB_W2V::cost 14.7382948399 seconds
input_IMDB_W2V::embdding 17106
train: 900  valid: 100  test: 1000
Warning -- This is embedding_initializer function
weigth decay for  model/hidden_to_out_weight:0
weigth decay for  model/bidirectional_rnn/fw/gru_cell/gates/weights:0
weigth decay for  model/bidirectional_rnn/fw/gru_cell/candidate/weights:0
weigth decay for  model/bidirectional_rnn/bw/gru_cell/gates/weights:0
weigth decay for  model/bidirectional_rnn/bw/gru_cell/candidate/weights:0
Warning -- This is embedding_initializer function
Build graph done!
EP 1, MB 1, lr 0.0001, MB Loss= 0.7998
EP 1, MB 2, lr 0.0001, MB Loss= 0.8007
EP 1, MB 3, lr 0.0001, MB Loss= 0.7999
EP 1, MB 4, lr 0.0001, MB Loss= 0.8004
EP 1, MB 5, lr 0.0001, MB Loss= 0.8004
EP 1, MB 6, lr 0.0001, MB Loss= 0.7995
EP 1, MB 7, lr 0.0001, MB Loss= 0.7999
EP 1, MB 8, lr 0.0001, MB Loss= 0.8000
EP 1, MB 9, lr 0.0001, MB Loss= 0.7996
Train Loss:  0.6932 Test Loss:  0.6932 Train Accuracy:  0.5000 Test Accuracy:  0.5000


EP 2, MB 1, lr 0.0001, MB Loss= 0.7998
EP 2, MB 2, lr 0.0001, MB Loss= 0.8002
EP 2, MB 3, lr 0.0001, MB Loss= 0.7999
EP 2, MB 4, lr 0.0001, MB Loss= 0.8000
EP 2, MB 5, lr 0.0001, MB Loss= 0.7998
EP 2, MB 6, lr 0.0001, MB Loss= 0.8004
EP 2, MB 7, lr 0.0001, MB Loss= 0.8003
EP 2, MB 8, lr 0.0001, MB Loss= 0.7997
EP 2, MB 9, lr 0.0001, MB Loss= 0.7999
Train Loss:  0.6931 Test Loss:  0.6931 Train Accuracy:  0.5056 Test Accuracy:  0.4960


EP 3, MB 1, lr 0.0001, MB Loss= 0.7999
EP 3, MB 2, lr 0.0001, MB Loss= 0.7997
EP 3, MB 3, lr 0.0001, MB Loss= 0.7988
EP 3, MB 4, lr 0.0001, MB Loss= 0.7992
EP 3, MB 5, lr 0.0001, MB Loss= 0.7995
EP 3, MB 6, lr 0.0001, MB Loss= 0.7989
EP 3, MB 7, lr 0.0001, MB Loss= 0.7981
EP 3, MB 8, lr 0.0001, MB Loss= 0.7983
EP 3, MB 9, lr 0.0001, MB Loss= 0.7962
Train Loss:  0.6923 Test Loss:  0.6927 Train Accuracy:  0.5056 Test Accuracy:  0.5030


EP 4, MB 1, lr 0.0001, MB Loss= 0.7957
EP 4, MB 2, lr 0.0001, MB Loss= 0.7952
EP 4, MB 3, lr 0.0001, MB Loss= 0.7934
EP 4, MB 4, lr 0.0001, MB Loss= 0.7940
EP 4, MB 5, lr 0.0001, MB Loss= 0.7920
EP 4, MB 6, lr 0.0001, MB Loss= 0.7907
EP 4, MB 7, lr 0.0001, MB Loss= 0.7876
EP 4, MB 8, lr 0.0001, MB Loss= 0.7870
EP 4, MB 9, lr 0.0001, MB Loss= 0.7847
Train Loss:  0.6903 Test Loss:  0.6917 Train Accuracy:  0.7100 Test Accuracy:  0.6050


EP 5, MB 1, lr 0.0001, MB Loss= 0.7820
EP 5, MB 2, lr 0.0001, MB Loss= 0.7807
EP 5, MB 3, lr 0.0001, MB Loss= 0.7783
EP 5, MB 4, lr 0.0001, MB Loss= 0.7743
EP 5, MB 5, lr 0.0001, MB Loss= 0.7735
EP 5, MB 6, lr 0.0001, MB Loss= 0.7683
EP 5, MB 7, lr 0.0001, MB Loss= 0.7673
EP 5, MB 8, lr 0.0001, MB Loss= 0.7615
EP 5, MB 9, lr 0.0001, MB Loss= 0.7627
Train Loss:  0.6874 Test Loss:  0.6899 Train Accuracy:  0.7300 Test Accuracy:  0.6320


EP 6, MB 1, lr 0.0001, MB Loss= 0.7591
EP 6, MB 2, lr 0.0001, MB Loss= 0.7527
EP 6, MB 3, lr 0.0001, MB Loss= 0.7506
EP 6, MB 4, lr 0.0001, MB Loss= 0.7514
EP 6, MB 5, lr 0.0001, MB Loss= 0.7465
EP 6, MB 6, lr 0.0001, MB Loss= 0.7427
EP 6, MB 7, lr 0.0001, MB Loss= 0.7433
EP 6, MB 8, lr 0.0001, MB Loss= 0.7376
EP 6, MB 9, lr 0.0001, MB Loss= 0.7371
Train Loss:  0.6824 Test Loss:  0.6868 Train Accuracy:  0.7389 Test Accuracy:  0.6420


EP 7, MB 1, lr 0.0001, MB Loss= 0.7325
EP 7, MB 2, lr 0.0001, MB Loss= 0.7241
EP 7, MB 3, lr 0.0001, MB Loss= 0.7291
EP 7, MB 4, lr 0.0001, MB Loss= 0.7238
EP 7, MB 5, lr 0.0001, MB Loss= 0.7186
EP 7, MB 6, lr 0.0001, MB Loss= 0.7139
EP 7, MB 7, lr 0.0001, MB Loss= 0.7185
EP 7, MB 8, lr 0.0001, MB Loss= 0.7150
EP 7, MB 9, lr 0.0001, MB Loss= 0.6993
Train Loss:  0.6739 Test Loss:  0.6813 Train Accuracy:  0.7411 Test Accuracy:  0.6490


EP 8, MB 1, lr 0.0001, MB Loss= 0.6928
