getData:: 12500 files keep: 500.0 files
getData:: 12500 files keep: 500.0 files
getData::vocab size 17106
getData::cost 1.06153416634 seconds
getData:: 12500 files keep: 500.0 files
getData:: 12500 files keep: 500.0 files
getData::vocab size 17106
getData::cost 1.24611592293 seconds
input_IMDB_W2V:: words, dim  89567 300
input_IMDB_W2V::cost 13.2127702236 seconds
input_IMDB_W2V::embdding 17106
train: 900  valid: 100  test: 1000
Warning -- This is embedding_initializer function
weigth decay for  model/hidden_to_out_weight:0
weigth decay for  model/bidirectional_rnn/fw/gru_cell/gates/weights:0
weigth decay for  model/bidirectional_rnn/fw/gru_cell/candidate/weights:0
weigth decay for  model/bidirectional_rnn/bw/gru_cell/gates/weights:0
weigth decay for  model/bidirectional_rnn/bw/gru_cell/candidate/weights:0
Warning -- This is embedding_initializer function
Build graph done!
EP 1, MB 1, lr 5e-05, MB Loss= 0.7995
EP 1, MB 2, lr 5e-05, MB Loss= 0.8003
EP 1, MB 3, lr 5e-05, MB Loss= 0.7996
EP 1, MB 4, lr 5e-05, MB Loss= 0.7997
EP 1, MB 5, lr 5e-05, MB Loss= 0.8004
EP 1, MB 6, lr 5e-05, MB Loss= 0.8004
EP 1, MB 7, lr 5e-05, MB Loss= 0.8002
EP 1, MB 8, lr 5e-05, MB Loss= 0.7988
EP 1, MB 9, lr 5e-05, MB Loss= 0.7994
Train Loss:  0.6931 Test Loss:  0.6931 Train Accuracy:  0.5000 Test Accuracy:  0.5010


EP 2, MB 1, lr 5e-05, MB Loss= 0.7995
EP 2, MB 2, lr 5e-05, MB Loss= 0.7998
EP 2, MB 3, lr 5e-05, MB Loss= 0.8002
EP 2, MB 4, lr 5e-05, MB Loss= 0.8002
EP 2, MB 5, lr 5e-05, MB Loss= 0.8004
EP 2, MB 6, lr 5e-05, MB Loss= 0.7999
EP 2, MB 7, lr 5e-05, MB Loss= 0.7994
EP 2, MB 8, lr 5e-05, MB Loss= 0.7996
EP 2, MB 9, lr 5e-05, MB Loss= 0.7998
Train Loss:  0.6931 Test Loss:  0.6931 Train Accuracy:  0.4989 Test Accuracy:  0.5000


EP 3, MB 1, lr 5e-05, MB Loss= 0.8004
EP 3, MB 2, lr 5e-05, MB Loss= 0.7999
EP 3, MB 3, lr 5e-05, MB Loss= 0.7990
EP 3, MB 4, lr 5e-05, MB Loss= 0.7997
EP 3, MB 5, lr 5e-05, MB Loss= 0.7996
EP 3, MB 6, lr 5e-05, MB Loss= 0.7991
EP 3, MB 7, lr 5e-05, MB Loss= 0.7982
EP 3, MB 8, lr 5e-05, MB Loss= 0.7993
EP 3, MB 9, lr 5e-05, MB Loss= 0.7985
Train Loss:  0.6926 Test Loss:  0.6928 Train Accuracy:  0.5833 Test Accuracy:  0.5360


EP 4, MB 1, lr 5e-05, MB Loss= 0.7985
EP 4, MB 2, lr 5e-05, MB Loss= 0.7987
EP 4, MB 3, lr 5e-05, MB Loss= 0.7969
EP 4, MB 4, lr 5e-05, MB Loss= 0.7964
EP 4, MB 5, lr 5e-05, MB Loss= 0.7958
EP 4, MB 6, lr 5e-05, MB Loss= 0.7950
EP 4, MB 7, lr 5e-05, MB Loss= 0.7934
EP 4, MB 8, lr 5e-05, MB Loss= 0.7928
EP 4, MB 9, lr 5e-05, MB Loss= 0.7916
Train Loss:  0.6916 Test Loss:  0.6922 Train Accuracy:  0.6456 Test Accuracy:  0.6000


EP 5, MB 1, lr 5e-05, MB Loss= 0.7908
EP 5, MB 2, lr 5e-05, MB Loss= 0.7893
EP 5, MB 3, lr 5e-05, MB Loss= 0.7878
EP 5, MB 4, lr 5e-05, MB Loss= 0.7880
EP 5, MB 5, lr 5e-05, MB Loss= 0.7864
EP 5, MB 6, lr 5e-05, MB Loss= 0.7853
EP 5, MB 7, lr 5e-05, MB Loss= 0.7811
EP 5, MB 8, lr 5e-05, MB Loss= 0.7805
EP 5, MB 9, lr 5e-05, MB Loss= 0.7792
Train Loss:  0.6902 Test Loss:  0.6913 Train Accuracy:  0.6944 Test Accuracy:  0.6440


EP 6, MB 1, lr 5e-05, MB Loss= 0.7774
EP 6, MB 2, lr 5e-05, MB Loss= 0.7779
