getData:: 12500 files keep: 500.0 files
getData:: 12500 files keep: 500.0 files
getData::vocab size 17106
getData::cost 0.435268163681 seconds
getData:: 12500 files keep: 500.0 files
getData:: 12500 files keep: 500.0 files
getData::vocab size 17106
getData::cost 0.291302919388 seconds
input_IMDB_W2V:: words, dim  89567 300
input_IMDB_W2V::cost 14.1914408207 seconds
input_IMDB_W2V::embdding 17106
train: 900  valid: 100  test: 1000
Warning -- This is embedding_initializer function
weigth decay for  model/hidden_to_out_weight:0
weigth decay for  model/bidirectional_rnn/fw/gru_cell/gates/weights:0
weigth decay for  model/bidirectional_rnn/fw/gru_cell/candidate/weights:0
weigth decay for  model/bidirectional_rnn/bw/gru_cell/gates/weights:0
weigth decay for  model/bidirectional_rnn/bw/gru_cell/candidate/weights:0
Warning -- This is embedding_initializer function
Build graph done!
EP 1, MB 1, lr 5e-05, MB Loss= 0.7995
EP 1, MB 2, lr 5e-05, MB Loss= 0.8005
EP 1, MB 3, lr 5e-05, MB Loss= 0.8004
EP 1, MB 4, lr 5e-05, MB Loss= 0.8002
EP 1, MB 5, lr 5e-05, MB Loss= 0.7995
EP 1, MB 6, lr 5e-05, MB Loss= 0.8002
EP 1, MB 7, lr 5e-05, MB Loss= 0.7993
EP 1, MB 8, lr 5e-05, MB Loss= 0.7998
EP 1, MB 9, lr 5e-05, MB Loss= 0.7999
Train Loss:  0.6932 Test Loss:  0.6932 Train Accuracy:  0.5000 Test Accuracy:  0.5000


EP 2, MB 1, lr 5e-05, MB Loss= 0.8002
EP 2, MB 2, lr 5e-05, MB Loss= 0.7999
EP 2, MB 3, lr 5e-05, MB Loss= 0.7994
EP 2, MB 4, lr 5e-05, MB Loss= 0.8000
EP 2, MB 5, lr 5e-05, MB Loss= 0.7999
EP 2, MB 6, lr 5e-05, MB Loss= 0.8002
EP 2, MB 7, lr 5e-05, MB Loss= 0.7995
EP 2, MB 8, lr 5e-05, MB Loss= 0.8001
EP 2, MB 9, lr 5e-05, MB Loss= 0.8002
Train Loss:  0.6931 Test Loss:  0.6931 Train Accuracy:  0.5000 Test Accuracy:  0.5000


EP 3, MB 1, lr 5e-05, MB Loss= 0.8001
EP 3, MB 2, lr 5e-05, MB Loss= 0.7997
EP 3, MB 3, lr 5e-05, MB Loss= 0.7999
EP 3, MB 4, lr 5e-05, MB Loss= 0.7988
EP 3, MB 5, lr 5e-05, MB Loss= 0.7999
EP 3, MB 6, lr 5e-05, MB Loss= 0.7990
EP 3, MB 7, lr 5e-05, MB Loss= 0.7982
EP 3, MB 8, lr 5e-05, MB Loss= 0.7989
EP 3, MB 9, lr 5e-05, MB Loss= 0.7986
Train Loss:  0.6925 Test Loss:  0.6927 Train Accuracy:  0.5389 Test Accuracy:  0.5190


EP 4, MB 1, lr 5e-05, MB Loss= 0.7977
EP 4, MB 2, lr 5e-05, MB Loss= 0.7974
EP 4, MB 3, lr 5e-05, MB Loss= 0.7980
EP 4, MB 4, lr 5e-05, MB Loss= 0.7963
EP 4, MB 5, lr 5e-05, MB Loss= 0.7952
EP 4, MB 6, lr 5e-05, MB Loss= 0.7958
EP 4, MB 7, lr 5e-05, MB Loss= 0.7932
EP 4, MB 8, lr 5e-05, MB Loss= 0.7929
EP 4, MB 9, lr 5e-05, MB Loss= 0.7923
Train Loss:  0.6915 Test Loss:  0.6921 Train Accuracy:  0.5344 Test Accuracy:  0.5210


EP 5, MB 1, lr 5e-05, MB Loss= 0.7914
EP 5, MB 2, lr 5e-05, MB Loss= 0.7893
EP 5, MB 3, lr 5e-05, MB Loss= 0.7879
EP 5, MB 4, lr 5e-05, MB Loss= 0.7867
EP 5, MB 5, lr 5e-05, MB Loss= 0.7850
EP 5, MB 6, lr 5e-05, MB Loss= 0.7844
EP 5, MB 7, lr 5e-05, MB Loss= 0.7832
EP 5, MB 8, lr 5e-05, MB Loss= 0.7819
EP 5, MB 9, lr 5e-05, MB Loss= 0.7799
Train Loss:  0.6901 Test Loss:  0.6913 Train Accuracy:  0.5656 Test Accuracy:  0.5470


EP 6, MB 1, lr 5e-05, MB Loss= 0.7782
EP 6, MB 2, lr 5e-05, MB Loss= 0.7788
EP 6, MB 3, lr 5e-05, MB Loss= 0.7737
EP 6, MB 4, lr 5e-05, MB Loss= 0.7745
EP 6, MB 5, lr 5e-05, MB Loss= 0.7723
EP 6, MB 6, lr 5e-05, MB Loss= 0.7707
EP 6, MB 7, lr 5e-05, MB Loss= 0.7690
EP 6, MB 8, lr 5e-05, MB Loss= 0.7676
EP 6, MB 9, lr 5e-05, MB Loss= 0.7666
Train Loss:  0.6883 Test Loss:  0.6902 Train Accuracy:  0.6322 Test Accuracy:  0.5970


EP 7, MB 1, lr 5e-05, MB Loss= 0.7643
EP 7, MB 2, lr 5e-05, MB Loss= 0.7642
EP 7, MB 3, lr 5e-05, MB Loss= 0.7616
EP 7, MB 4, lr 5e-05, MB Loss= 0.7589
EP 7, MB 5, lr 5e-05, MB Loss= 0.7576
EP 7, MB 6, lr 5e-05, MB Loss= 0.7560
EP 7, MB 7, lr 5e-05, MB Loss= 0.7546
EP 7, MB 8, lr 5e-05, MB Loss= 0.7524
EP 7, MB 9, lr 5e-05, MB Loss= 0.7539
Train Loss:  0.6858 Test Loss:  0.6886 Train Accuracy:  0.6711 Test Accuracy:  0.6300


EP 8, MB 1, lr 5e-05, MB Loss= 0.7527
EP 8, MB 2, lr 5e-05, MB Loss= 0.7470
EP 8, MB 3, lr 5e-05, MB Loss= 0.7492
EP 8, MB 4, lr 5e-05, MB Loss= 0.7459
EP 8, MB 5, lr 5e-05, MB Loss= 0.7434
EP 8, MB 6, lr 5e-05, MB Loss= 0.7402
EP 8, MB 7, lr 5e-05, MB Loss= 0.7362
EP 8, MB 8, lr 5e-05, MB Loss= 0.7391
EP 8, MB 9, lr 5e-05, MB Loss= 0.7360
Train Loss:  0.6826 Test Loss:  0.6864 Train Accuracy:  0.6889 Test Accuracy:  0.6580


EP 9, MB 1, lr 5e-05, MB Loss= 0.7323
EP 9, MB 2, lr 5e-05, MB Loss= 0.7339
EP 9, MB 3, lr 5e-05, MB Loss= 0.7339
EP 9, MB 4, lr 5e-05, MB Loss= 0.7327
EP 9, MB 5, lr 5e-05, MB Loss= 0.7288
EP 9, MB 6, lr 5e-05, MB Loss= 0.7231
EP 9, MB 7, lr 5e-05, MB Loss= 0.7213
EP 9, MB 8, lr 5e-05, MB Loss= 0.7267
EP 9, MB 9, lr 5e-05, MB Loss= 0.7260
Train Loss:  0.6781 Test Loss:  0.6833 Train Accuracy:  0.7289 Test Accuracy:  0.6790


EP 10, MB 1, lr 5e-05, MB Loss= 0.7201
EP 10, MB 2, lr 5e-05, MB Loss= 0.7205
EP 10, MB 3, lr 5e-05, MB Loss= 0.7241
EP 10, MB 4, lr 5e-05, MB Loss= 0.7095
EP 10, MB 5, lr 5e-05, MB Loss= 0.7120
EP 10, MB 6, lr 5e-05, MB Loss= 0.7110
EP 10, MB 7, lr 5e-05, MB Loss= 0.7095
EP 10, MB 8, lr 5e-05, MB Loss= 0.6979
EP 10, MB 9, lr 5e-05, MB Loss= 0.7087
Train Loss:  0.6721 Test Loss:  0.6790 Train Accuracy:  0.7667 Test Accuracy:  0.7000


EP 11, MB 1, lr 5e-05, MB Loss= 0.6889
EP 11, MB 2, lr 5e-05, MB Loss= 0.7110
EP 11, MB 3, lr 5e-05, MB Loss= 0.7048
EP 11, MB 4, lr 5e-05, MB Loss= 0.7029
EP 11, MB 5, lr 5e-05, MB Loss= 0.6967
EP 11, MB 6, lr 5e-05, MB Loss= 0.6951
EP 11, MB 7, lr 5e-05, MB Loss= 0.6979
EP 11, MB 8, lr 5e-05, MB Loss= 0.6899
EP 11, MB 9, lr 5e-05, MB Loss= 0.6837
Train Loss:  0.6643 Test Loss:  0.6733 Train Accuracy:  0.7600 Test Accuracy:  0.7080


EP 12, MB 1, lr 5e-05, MB Loss= 0.6774
EP 12, MB 2, lr 5e-05, MB Loss= 0.6905
EP 12, MB 3, lr 5e-05, MB Loss= 0.6927
